ball_possession_home,blocked_shots_home,corner_kicks_home,fouls_home,goalkeeper_saves_home,offsides_home,passes_%_home,passes_accurate_home,red_cards_home,shots_insidebox_home,shots_off_goal_home,shots_on_goal_home,shots_outsidebox_home,total_shots_home,total_passes_home,yellow_cards_home,ball_possession_away,blocked_shots_away,corner_kicks_away,fouls_away,goalkeeper_saves_away,offsides_away,passes_%_away,passes_accurate_away,red_cards_away,shots_insidebox_away,shots_off_goal_away,shots_on_goal_away,shots_outsidebox_away,total_shots_away,total_passes_away,yellow_cards_away,fixture_id
0.68,5.0,10.0,14.0,2.0,2.0,0.84,448.0,0.0,12.0,9.0,4.0,6.0,18.0,534.0,2.0,0.32,2.0,1.0,11.0,4.0,3.0,0.66,170.0,0.0,4.0,4.0,3.0,5.0,9.0,256.0,4.0,27306
0.57,0.0,4.0,11.0,3.0,3.0,0.86,408.0,0.0,4.0,2.0,2.0,0.0,4.0,474.0,2.0,0.43,3.0,11.0,13.0,1.0,0.0,0.78,261.0,0.0,11.0,8.0,4.0,4.0,15.0,336.0,4.0,27302
0.37,1.0,5.0,16.0,4.0,3.0,0.73,265.0,0.0,5.0,2.0,5.0,3.0,8.0,361.0,1.0,0.63,6.0,9.0,13.0,4.0,1.0,0.83,491.0,0.0,9.0,8.0,4.0,9.0,18.0,594.0,1.0,27300
0.51,1.0,4.0,14.0,1.0,5.0,0.86,473.0,0.0,5.0,3.0,5.0,4.0,9.0,547.0,0.0,0.49,4.0,6.0,15.0,2.0,0.0,0.86,436.0,0.0,6.0,6.0,1.0,5.0,11.0,508.0,1.0,27301
0.43,3.0,3.0,25.0,1.0,1.0,0.74,270.0,0.0,5.0,2.0,3.0,3.0,8.0,364.0,3.0,0.57,0.0,1.0,12.0,2.0,5.0,0.8,388.0,0.0,3.0,3.0,2.0,2.0,5.0,482.0,2.0,27299
0.48,5.0,12.0,14.0,3.0,3.0,0.76,279.0,0.0,12.0,6.0,8.0,7.0,19.0,369.0,7.0,0.52,3.0,5.0,15.0,7.0,2.0,0.81,321.0,0.0,6.0,4.0,4.0,5.0,11.0,398.0,4.0,27307
0.47,2.0,3.0,14.0,1.0,2.0,0.76,300.0,0.0,9.0,7.0,4.0,4.0,13.0,397.0,3.0,0.53,3.0,6.0,9.0,3.0,2.0,0.74,325.0,1.0,3.0,3.0,2.0,5.0,8.0,438.0,3.0,27304
0.41,4.0,3.0,13.0,6.0,0.0,0.76,222.0,0.0,9.0,6.0,8.0,9.0,18.0,292.0,2.0,0.59,3.0,5.0,10.0,7.0,7.0,0.75,314.0,0.0,8.0,2.0,7.0,4.0,12.0,419.0,2.0,27305
0.46,5.0,6.0,12.0,5.0,3.0,0.87,471.0,0.0,8.0,3.0,4.0,4.0,12.0,539.0,2.0,0.54,5.0,4.0,13.0,2.0,3.0,0.89,557.0,0.0,9.0,2.0,7.0,5.0,14.0,629.0,2.0,27308
0.55,6.0,8.0,18.0,0.0,2.0,0.78,334.0,1.0,11.0,5.0,8.0,8.0,19.0,429.0,3.0,0.45,1.0,2.0,16.0,6.0,3.0,0.72,249.0,0.0,7.0,6.0,2.0,2.0,9.0,344.0,1.0,27315
0.51,3.0,3.0,10.0,2.0,0.0,0.81,384.0,0.0,9.0,8.0,1.0,3.0,12.0,475.0,2.0,0.49,3.0,6.0,17.0,0.0,1.0,0.8,335.0,1.0,4.0,5.0,2.0,6.0,10.0,421.0,5.0,27312
0.58,2.0,9.0,16.0,4.0,2.0,0.8,393.0,0.0,5.0,5.0,5.0,7.0,12.0,491.0,0.0,0.42,2.0,5.0,23.0,5.0,0.0,0.76,272.0,0.0,5.0,2.0,5.0,4.0,9.0,358.0,3.0,27318
0.44,3.0,2.0,10.0,1.0,1.0,0.7,254.0,0.0,9.0,6.0,5.0,5.0,14.0,362.0,3.0,0.56,4.0,6.0,13.0,3.0,1.0,0.77,350.0,0.0,11.0,8.0,2.0,3.0,14.0,457.0,3.0,27309
0.33,1.0,4.0,21.0,0.0,4.0,0.73,212.0,0.0,8.0,4.0,6.0,3.0,11.0,290.0,3.0,0.67,5.0,6.0,7.0,4.0,1.0,0.86,528.0,0.0,4.0,1.0,1.0,3.0,7.0,613.0,2.0,27314
0.54,8.0,13.0,12.0,4.0,2.0,0.72,301.0,0.0,19.0,10.0,6.0,5.0,24.0,419.0,0.0,0.46,0.0,1.0,15.0,5.0,4.0,0.65,245.0,0.0,4.0,3.0,4.0,3.0,7.0,376.0,2.0,27311
0.55,4.0,4.0,15.0,6.0,1.0,0.82,419.0,0.0,11.0,6.0,5.0,4.0,15.0,511.0,5.0,0.45,2.0,5.0,11.0,4.0,2.0,0.77,326.0,0.0,3.0,3.0,7.0,9.0,12.0,421.0,7.0,27317
