ball_possession_home,blocked_shots_home,corner_kicks_home,fouls_home,goalkeeper_saves_home,offsides_home,passes_%_home,passes_accurate_home,red_cards_home,shots_insidebox_home,shots_off_goal_home,shots_on_goal_home,shots_outsidebox_home,total_shots_home,total_passes_home,yellow_cards_home,ball_possession_away,blocked_shots_away,corner_kicks_away,fouls_away,goalkeeper_saves_away,offsides_away,passes_%_away,passes_accurate_away,red_cards_away,shots_insidebox_away,shots_off_goal_away,shots_on_goal_away,shots_outsidebox_away,total_shots_away,total_passes_away,yellow_cards_away,fixture_id
0.49,2.0,7.0,10.0,5.0,2.0,0.87,385.0,0.0,9.0,5.0,10.0,8.0,17.0,441.0,3.0,0.51,3.0,4.0,15.0,7.0,0.0,0.87,396.0,0.0,9.0,3.0,6.0,3.0,12.0,454.0,2.0,11500
0.4,3.0,7.0,11.0,3.0,0.0,0.64,187.0,0.0,7.0,2.0,6.0,4.0,11.0,294.0,1.0,0.6,4.0,3.0,7.0,3.0,3.0,0.73,335.0,0.0,5.0,4.0,3.0,6.0,11.0,459.0,3.0,12405
0.53,3.0,8.0,11.0,4.0,1.0,0.78,356.0,0.0,7.0,9.0,2.0,7.0,14.0,456.0,1.0,0.47,6.0,6.0,10.0,2.0,4.0,0.74,298.0,0.0,8.0,6.0,4.0,8.0,16.0,403.0,1.0,12407
0.43,4.0,6.0,7.0,1.0,3.0,0.58,173.0,0.0,8.0,4.0,4.0,4.0,12.0,298.0,0.0,0.57,4.0,5.0,17.0,3.0,4.0,0.69,274.0,0.0,7.0,4.0,3.0,4.0,11.0,397.0,2.0,12408
0.5,5.0,8.0,12.0,0.0,3.0,0.63,171.0,0.0,13.0,4.0,8.0,4.0,17.0,273.0,0.0,0.5,3.0,2.0,16.0,6.0,0.0,0.54,144.0,0.0,5.0,4.0,1.0,3.0,8.0,265.0,1.0,12409
0.31,2.0,5.0,18.0,5.0,3.0,0.72,196.0,0.0,3.0,2.0,2.0,3.0,6.0,273.0,1.0,0.69,7.0,6.0,12.0,2.0,5.0,0.88,549.0,0.0,8.0,4.0,7.0,10.0,18.0,625.0,0.0,12410
0.48,0.0,3.0,13.0,3.0,0.0,0.74,265.0,0.0,3.0,4.0,1.0,2.0,5.0,359.0,1.0,0.52,2.0,8.0,16.0,1.0,1.0,0.77,300.0,0.0,10.0,7.0,3.0,2.0,12.0,390.0,2.0,12411
0.28,4.0,5.0,13.0,7.0,2.0,0.59,148.0,0.0,8.0,2.0,5.0,3.0,11.0,251.0,2.0,0.72,3.0,6.0,7.0,1.0,2.0,0.87,562.0,0.0,8.0,5.0,7.0,7.0,15.0,643.0,1.0,12412
0.52,0.0,6.0,15.0,1.0,2.0,0.7,299.0,0.0,3.0,1.0,4.0,3.0,5.0,428.0,4.0,0.48,6.0,2.0,12.0,2.0,2.0,0.7,266.0,0.0,9.0,6.0,2.0,5.0,14.0,379.0,3.0,12413
0.4,7.0,4.0,10.0,3.0,1.0,0.73,226.0,0.0,7.0,5.0,2.0,7.0,14.0,311.0,0.0,0.6,2.0,3.0,5.0,2.0,3.0,0.82,395.0,0.0,10.0,6.0,5.0,3.0,13.0,480.0,0.0,12406
0.58,2.0,4.0,10.0,2.0,0.0,0.83,450.0,0.0,1.0,2.0,1.0,4.0,5.0,543.0,3.0,0.42,7.0,2.0,11.0,1.0,2.0,0.76,296.0,0.0,10.0,7.0,4.0,8.0,18.0,392.0,2.0,12404
0.67,3.0,9.0,10.0,0.0,2.0,0.85,443.0,0.0,8.0,6.0,7.0,8.0,16.0,521.0,3.0,0.33,1.0,0.0,10.0,5.0,4.0,0.72,182.0,1.0,1.0,3.0,1.0,4.0,5.0,254.0,3.0,10666
0.44,5.0,2.0,12.0,1.0,3.0,0.7,227.0,0.0,7.0,7.0,3.0,8.0,15.0,325.0,3.0,0.56,3.0,6.0,14.0,1.0,5.0,0.79,310.0,0.0,2.0,1.0,1.0,3.0,5.0,394.0,2.0,10667
0.42,0.0,6.0,16.0,8.0,5.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,8.0,0.0,3.0,0.58,0.0,7.0,20.0,4.0,2.0,0.0,0.0,1.0,0.0,3.0,9.0,0.0,12.0,0.0,4.0,9499
0.47,2.0,2.0,12.0,5.0,0.0,0.83,307.0,0.0,4.0,5.0,6.0,9.0,13.0,372.0,1.0,0.53,4.0,6.0,18.0,5.0,3.0,0.82,324.0,0.0,10.0,4.0,7.0,5.0,15.0,397.0,5.0,10665
0.44,0.0,7.0,19.0,5.0,3.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,7.0,0.0,2.0,0.56,0.0,3.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,10.0,0.0,14.0,0.0,0.0,9506
0.49,0.0,5.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,6.0,0.0,3.0,0.51,0.0,7.0,15.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,2.0,9505
0.64,4.0,11.0,8.0,3.0,1.0,0.85,445.0,0.0,14.0,5.0,9.0,4.0,18.0,523.0,1.0,0.36,1.0,3.0,18.0,7.0,4.0,0.7,196.0,0.0,10.0,6.0,5.0,2.0,12.0,279.0,2.0,10664
0.53,0.0,7.0,11.0,2.0,2.0,0.0,0.0,0.0,0.0,11.0,6.0,0.0,17.0,0.0,3.0,0.47,0.0,5.0,13.0,5.0,2.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,12.0,0.0,2.0,9504
