ball_possession_home,blocked_shots_home,corner_kicks_home,fouls_home,goalkeeper_saves_home,offsides_home,passes_%_home,passes_accurate_home,red_cards_home,shots_insidebox_home,shots_off_goal_home,shots_on_goal_home,shots_outsidebox_home,total_shots_home,total_passes_home,yellow_cards_home,ball_possession_away,blocked_shots_away,corner_kicks_away,fouls_away,goalkeeper_saves_away,offsides_away,passes_%_away,passes_accurate_away,red_cards_away,shots_insidebox_away,shots_off_goal_away,shots_on_goal_away,shots_outsidebox_away,total_shots_away,total_passes_away,yellow_cards_away,fixture_id
0.44,2.0,7.0,20.0,9.0,4.0,0.73,262.0,0.0,3.0,3.0,1.0,3.0,6.0,359.0,2.0,0.56,1.0,10.0,15.0,1.0,2.0,0.79,368.0,0.0,6.0,3.0,11.0,9.0,15.0,464.0,3.0,8928
0.46,0.0,3.0,8.0,4.0,1.0,0.82,410.0,0.0,7.0,3.0,7.0,4.0,10.0,502.0,0.0,0.54,5.0,6.0,5.0,4.0,2.0,0.83,482.0,0.0,5.0,3.0,4.0,7.0,12.0,583.0,2.0,8837
0.54,6.0,6.0,11.0,1.0,0.0,0.82,337.0,0.0,7.0,3.0,7.0,9.0,16.0,409.0,2.0,0.46,7.0,7.0,17.0,5.0,4.0,0.8,266.0,0.0,6.0,3.0,2.0,6.0,12.0,334.0,4.0,8927
0.45,2.0,3.0,17.0,2.0,4.0,0.85,429.0,0.0,9.0,4.0,10.0,7.0,16.0,502.0,2.0,0.55,2.0,1.0,7.0,8.0,2.0,0.84,524.0,0.0,4.0,8.0,3.0,9.0,13.0,622.0,1.0,8926
0.58,0.0,5.0,17.0,6.0,1.0,0.76,416.0,0.0,3.0,7.0,4.0,8.0,11.0,549.0,1.0,0.42,0.0,2.0,15.0,4.0,4.0,0.7,274.0,0.0,8.0,3.0,7.0,2.0,10.0,394.0,3.0,8925
0.5,2.0,6.0,22.0,3.0,5.0,0.83,330.0,1.0,9.0,5.0,7.0,5.0,14.0,398.0,4.0,0.5,3.0,5.0,11.0,6.0,0.0,0.79,305.0,0.0,13.0,9.0,4.0,3.0,16.0,386.0,1.0,8920
0.47,2.0,3.0,13.0,2.0,1.0,0.83,416.0,0.0,7.0,2.0,5.0,2.0,9.0,504.0,4.0,0.53,8.0,4.0,15.0,2.0,4.0,0.85,476.0,0.0,8.0,6.0,4.0,10.0,18.0,559.0,3.0,8921
0.29,1.0,1.0,10.0,4.0,2.0,0.67,159.0,1.0,5.0,5.0,1.0,2.0,7.0,238.0,4.0,0.71,8.0,8.0,17.0,0.0,2.0,0.87,479.0,0.0,8.0,7.0,5.0,12.0,20.0,553.0,3.0,8922
0.59,7.0,5.0,9.0,3.0,1.0,0.83,445.0,0.0,14.0,8.0,4.0,5.0,19.0,538.0,1.0,0.41,4.0,1.0,15.0,3.0,5.0,0.78,279.0,1.0,9.0,4.0,4.0,3.0,12.0,360.0,1.0,8923
0.52,4.0,6.0,9.0,3.0,2.0,0.79,377.0,1.0,9.0,5.0,5.0,5.0,14.0,475.0,1.0,0.48,4.0,4.0,11.0,5.0,7.0,0.76,335.0,0.0,8.0,4.0,4.0,4.0,12.0,440.0,0.0,8924
